Code_commune,Libelle_de_la_commune,Inscrits_22,Abstentions_22,Exprimes_22,Votes_Extreme_Gauche,Votes_Gauche,Votes_Centre,Votes_Droite,Votes_Extreme_Droite,Top_Extreme_Gauche,Top_Gauche,Top_Centre,Top_Droite,Top_Extreme_Droite,Voix_ART_22,Voix_ROU_22,Voix_MAC_22,Voix_LAS_22,Voix_PEN_22,Voix_ZEM_22,Voix_MEL_22,Voix_HID_22,Voix_JAD_22,Voix_PEC_22,Voix_POU_22,Voix_DUP_22
33086.0,Camiac-et-Saint-Denis,299,70,223,1,62,61,16,83,0,0,0,0,1,0,4,61,12,62,17,44,4,10,4,1,4
33087.0,Camiran,317,69,241,3,77,42,43,76,0,1,0,0,0,2,11,42,26,59,12,49,11,6,17,1,5
33088.0,Camps-sur-l'Isle,501,137,352,10,87,82,25,148,0,0,0,0,1,0,12,82,16,123,22,58,3,14,9,10,3
33089.0,Campugnan,359,57,300,8,43,47,29,173,0,0,0,0,1,3,3,47,20,137,25,31,0,9,9,5,11
33090.0,Canéjan,4471,721,3663,61,1369,1095,283,855,0,1,0,0,0,22,112,1095,147,636,160,880,110,267,136,39,59
33093.0,Capian,567,80,481,4,156,113,46,162,0,0,0,0,1,0,12,113,36,122,29,119,9,16,10,4,11
33094.0,Caplong,159,22,134,3,21,24,21,65,0,0,0,0,1,3,2,24,15,48,16,18,1,0,6,0,1
33095.0,Captieux,1013,189,797,5,226,173,127,266,0,0,0,0,1,3,29,173,98,208,43,127,59,11,29,2,15
33096.0,Carbon-Blanc,5645,1279,4276,48,1552,1117,309,1250,0,1,0,0,0,17,132,1117,185,924,258,1109,100,211,124,31,68
33097.0,Carcans,2376,436,1895,38,521,509,210,617,0,0,0,0,1,16,59,509,120,454,122,367,29,66,90,22,41
33098.0,Cardan,385,64,310,6,77,67,25,135,0,0,0,0,1,0,11,67,15,99,20,54,6,6,10,6,16
33099.0,Carignan-de-Bordeaux,3245,605,2594,28,766,821,253,726,0,0,1,0,0,7,55,821,112,479,179,504,55,152,141,21,68
33100.0,Cars,966,191,755,13,157,192,60,333,0,0,0,0,1,7,19,192,31,271,43,102,22,14,29,6,19
33101.0,Cartelègue,882,179,689,13,170,128,72,306,0,0,0,0,1,5,11,128,48,266,31,128,15,16,24,8,9
33102.0,Casseuil,311,64,238,1,62,69,27,79,0,0,0,0,1,1,9,69,18,63,12,45,4,4,9,0,4
33103.0,Castelmoron-d'Albret,48,7,38,2,14,13,3,6,0,1,0,0,0,0,1,13,3,3,2,10,0,3,0,2,1
33104.0,Castelnau-de-Médoc,3592,857,2681,40,772,685,214,970,0,0,0,0,1,14,72,685,123,776,144,560,39,101,91,26,50
33105.0,Castelviel,151,16,131,1,35,19,15,61,0,0,0,0,1,0,1,19,10,50,6,28,1,5,5,1,5
,Castets-et-Castillon,1121,194,911,12,242,207,110,340,0,0,0,0,1,4,22,207,76,263,64,172,20,28,34,8,13
33108.0,Castillon-la-Bataille,1865,602,1235,14,356,281,73,511,0,0,0,0,1,4,40,281,40,411,81,260,19,37,33,10,19
33109.0,Castres-Gironde,1712,300,1380,23,439,368,104,446,0,0,0,0,1,4,43,368,62,342,71,291,29,76,42,19,33
33111.0,Caudrot,724,119,590,11,139,155,71,214,0,0,0,0,1,3,25,155,48,177,28,81,8,25,23,8,9
33112.0,Caumont,113,15,96,4,20,39,6,27,0,0,1,0,0,2,2,39,3,19,6,14,0,4,3,2,2
33112.0,Caumont,113,15,96,4,20,39,6,27,0,0,1,0,0,2,2,39,3,19,6,14,0,4,3,2,2
33112.0,Caumont,113,15,96,4,20,39,6,27,0,0,1,0,0,2,2,39,3,19,6,14,0,4,3,2,2
33112.0,Caumont,113,15,96,4,20,39,6,27,0,0,1,0,0,2,2,39,3,19,6,14,0,4,3,2,2
33112.0,Caumont,113,15,96,4,20,39,6,27,0,0,1,0,0,2,2,39,3,19,6,14,0,4,3,2,2
33112.0,Caumont,113,15,96,4,20,39,6,27,0,0,1,0,0,2,2,39,3,19,6,14,0,4,3,2,2
33112.0,Caumont,113,15,96,4,20,39,6,27,0,0,1,0,0,2,2,39,3,19,6,14,0,4,3,2,2
33113.0,Cauvignac,131,14,114,1,26,25,13,49,0,0,0,0,1,0,2,25,12,41,5,23,0,1,1,1,3
33114.0,Cavignac,1264,227,1007,13,250,217,83,444,0,0,0,0,1,8,23,217,45,373,61,174,17,36,38,5,10
33115.0,Cazalis,247,38,206,1,58,34,17,96,0,0,0,0,1,0,7,34,8,62,21,44,4,3,9,1,13
33115.0,Cazalis,247,38,206,1,58,34,17,96,0,0,0,0,1,0,7,34,8,62,21,44,4,3,9,1,13
33116.0,Cazats,308,43,261,4,60,68,27,102,0,0,0,0,1,1,3,68,21,92,7,48,3,6,6,3,3
33117.0,Cazaugitat,166,28,134,1,34,45,12,42,0,0,1,0,0,1,2,45,8,37,4,19,8,5,4,0,1
33119.0,Cenon,14800,4708,9883,135,4917,2179,517,2135,0,1,0,0,0,30,272,2179,270,1553,453,3848,310,487,247,105,129
33121.0,Cessac,188,45,138,3,34,28,13,60,0,0,0,0,1,2,4,28,10,54,4,26,2,2,3,1,2
33122.0,Cestas,14281,2420,11617,160,3544,3965,979,2969,0,0,1,0,0,63,340,3965,439,2074,693,2159,296,749,540,97,202
33124.0,Chamadelle,555,97,450,5,104,86,25,230,0,0,0,0,1,4,16,86,14,195,18,73,6,9,11,1,17
33125.0,Cissac-Médoc,1447,248,1178,17,285,226,111,539,0,0,0,0,1,6,27,226,71,457,64,222,19,17,40,11,18
33126.0,Civrac-de-Blaye,649,116,522,4,119,107,45,247,0,0,0,0,1,0,18,107,23,206,31,76,9,16,22,4,10
33128.0,Civrac-en-Médoc,515,100,406,8,72,102,36,188,0,0,0,0,1,3,13,102,25,143,36,52,2,5,11,5,9
33127.0,Civrac-sur-Dordogne,162,14,140,2,35,28,11,64,0,0,0,0,1,1,0,28,8,51,12,31,3,1,3,1,1
33129.0,Cleyrac,128,34,90,0,21,22,12,35,0,0,0,0,1,0,4,22,7,26,9,12,1,4,5,0,0
33130.0,Coimères,841,156,665,10,168,199,82,206,0,0,0,0,1,2,12,199,57,166,29,112,25,19,25,8,11
33131.0,Coirac,158,25,132,3,39,39,16,35,0,1,0,0,0,1,6,39,9,30,5,28,3,2,7,2,0
33132.0,Comps,398,60,333,13,69,75,28,148,0,0,0,0,1,2,17,75,15,124,19,39,6,7,13,11,5
33132.0,Comps,398,60,333,13,69,75,28,148,0,0,0,0,1,2,17,75,15,124,19,39,6,7,13,11,5
33132.0,Comps,398,60,333,13,69,75,28,148,0,0,0,0,1,2,17,75,15,124,19,39,6,7,13,11,5
33133.0,Coubeyrac,62,10,52,1,7,17,12,15,0,0,1,0,0,0,0,17,6,12,3,5,0,2,6,1,0
33134.0,Couquèques,202,37,162,1,26,38,17,80,0,0,0,0,1,0,2,38,12,63,12,23,0,1,5,1,5
33135.0,Courpiac,81,11,69,0,26,14,11,18,0,1,0,0,0,0,1,14,10,17,0,19,4,2,1,0,1
33136.0,Cours-de-Monségur,217,56,159,1,36,23,25,74,0,0,0,0,1,0,4,23,17,63,5,25,3,4,8,1,6
33137.0,Cours-les-Bains,163,22,134,1,39,34,17,43,0,0,0,0,1,0,4,34,13,37,6,26,2,7,4,1,0
33138.0,Coutras,6532,1675,4756,72,1210,1066,333,2075,0,0,0,0,1,28,109,1066,177,1708,261,870,100,131,156,44,106
33139.0,Coutures,62,11,51,1,13,9,9,19,0,0,0,0,1,1,2,9,7,14,4,8,0,3,2,0,1
33139.0,Coutures,62,11,51,1,13,9,9,19,0,0,0,0,1,1,2,9,7,14,4,8,0,3,2,0,1
33139.0,Coutures,62,11,51,1,13,9,9,19,0,0,0,0,1,1,2,9,7,14,4,8,0,3,2,0,1
33141.0,Croignon,568,111,443,11,128,119,44,141,0,0,0,0,1,1,7,119,22,104,27,89,8,24,22,10,10
33140.0,Créon,3567,800,2712,52,914,625,205,916,0,0,0,0,1,16,94,625,124,719,151,641,56,123,81,36,46
33142.0,Cubnezais,1175,194,959,16,248,196,73,426,0,0,0,0,1,7,26,196,38,355,56,182,13,27,35,9,15
33143.0,Cubzac-les-Ponts,1926,457,1434,26,436,313,115,544,0,0,0,0,1,11,52,313,77,439,76,306,25,53,38,15,29
33144.0,Cudos,646,79,556,7,162,118,63,206,0,0,0,0,1,2,14,118,51,157,29,113,16,19,12,5,20
33145.0,Cursan,472,62,398,7,109,98,42,142,0,0,0,0,1,2,11,98,21,107,23,70,7,21,21,5,12
33146.0,Cussac-Fort-Médoc,1492,300,1162,28,219,256,95,564,0,0,0,0,1,6,16,256,55,470,77,166,16,21,40,22,17
33118.0,Cénac,1765,276,1446,14,486,475,134,337,0,1,0,0,0,3,44,475,55,212,102,313,21,108,79,11,23
33120.0,Cérons,1510,229,1256,20,410,281,133,412,0,0,0,0,1,11,70,281,93,345,47,282,29,29,40,9,20
33123.0,Cézac,1691,312,1353,34,338,260,103,618,0,0,0,0,1,9,18,260,70,515,66,249,25,46,33,25,37
33123.0,Cézac,1691,312,1353,34,338,260,103,618,0,0,0,0,1,9,18,260,70,515,66,249,25,46,33,25,37
33147.0,Daignac,357,68,284,3,70,55,38,118,0,0,0,0,1,1,4,55,24,100,9,51,6,9,14,2,9
